Countries and areas,Latitude,Longitude,OOSR_Pre0Primary_Age_Male,OOSR_Pre0Primary_Age_Female,OOSR_Primary_Age_Male,OOSR_Primary_Age_Female,OOSR_Lower_Secondary_Age_Male,OOSR_Lower_Secondary_Age_Female,OOSR_Upper_Secondary_Age_Male,OOSR_Upper_Secondary_Age_Female,Completion_Rate_Primary_Male,Completion_Rate_Primary_Female,Completion_Rate_Lower_Secondary_Male,Completion_Rate_Lower_Secondary_Female,Completion_Rate_Upper_Secondary_Male,Completion_Rate_Upper_Secondary_Female,Grade_2_3_Proficiency_Reading,Grade_2_3_Proficiency_Math,Primary_End_Proficiency_Reading,Primary_End_Proficiency_Math,Lower_Secondary_End_Proficiency_Reading,Lower_Secondary_End_Proficiency_Math,Youth_15_24_Literacy_Rate_Male,Youth_15_24_Literacy_Rate_Female,Birth_Rate,Gross_Primary_Education_Enrollment,Gross_Tertiary_Education_Enrollment,Unemployment_Rate
Austria,47.33333333,13.33333333,0,0,0,0,1,0,10,9,0,0,0,0,0,0,0,0,98,0,76,79,0,0,9.7,103.1,85.1,4.67
Azerbaijan,40.5,47.5,32,19,10,7,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,14,99.7,27.7,5.51
The Bahamas,25.03428,77.39628,0,0,0,0,23,21,29,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.97,81.4,15.1,10.36
Bahrain,26,50.55,31,28,2,3,7,0,18,6,0,0,0,0,0,0,69,40,0,0,0,39,100,99,13.99,99.4,50.5,0.71
Bangladesh,24,90,0,0,0,0,0,0,41,36,76,89,59,71,32,27,47,34,44,32,54,57,94,96,18.18,116.5,20.6,4.19
Barbados,13.16666666,-59.53333333,6,10,1,2,7,3,7,3,99,99,98,98,91,97,0,0,0,0,0,0,0,0,10.65,99.4,65.4,10.33
Belarus,53,28,0,4,1,2,1,1,6,4,100,100,100,100,91,94,0,0,0,0,77,71,100,100,9.9,100.5,87.4,4.59
Belgium,50.83333333,4,3,2,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,79,80,0,0,10.3,103.9,79.7,5.59
Belize,17.25,-88.75,18,16,1,1,9,11,38,35,95,96,55,66,48,51,0,0,0,0,0,0,0,0,20.79,111.7,24.7,6.41
Benin,9.5,2.25,15,16,3,10,27,43,46,66,51,44,25,13,12,5,9,34,23,11,0,0,70,52,36.22,122,12.3,2.23
Bhutan,27.5,90.5,58,59,5,2,18,6,33,22,67,71,41,38,25,18,0,0,0,0,56,0,0,0,17.26,100.1,15.6,2.34
Bolivia,-17,-65,9,8,5,5,13,14,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.75,98.2,0,3.5
Bosnia and Herzegovina,44,18,72,73,0,0,0,0,22,19,99,100,97,97,92,92,0,0,0,0,46,42,0,0,8.11,0,23.3,18.42
Botswana,-22,24,79,78,12,10,0,0,0,0,95,98,92,92,55,66,0,0,0,16,0,0,0,0,24.82,103.2,24.9,18.19
Brazil,-10,-55,0,1,1,1,2,3,16,14,95,97,81,89,65,75,80,71,53,52,50,32,99,99,13.92,115.4,51.3,12.08
British Virgin Islands,7.539989,5.54708,9,2,4,3,8,7,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,4.5,114.6666667,17,18,0,0,0,0,19,16,0,0,0,0,0,0,0,0,0,0,48,52,100,100,14.9,103.2,31.4,9.12
Bulgaria,43,25,19,20,13,13,12,13,10,14,0,0,0,0,0,0,0,0,95,75,53,56,0,0,8.9,89.3,71,4.34
Burkina Faso,13,-2,81,81,21,22,48,44,67,65,32,29,13,6,6,2,36,59,21,22,0,0,62,55,37.93,96.1,6.5,6.26
Burundi,-3.5,30,52,50,9,6,36,31,67,62,46,54,26,19,4,3,79,97,7,40,0,0,0,0,39.01,121.4,6.1,1.43
Cape Verde,16,-24,19,19,6,7,14,13,29,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.49,104,23.6,12.25
Cambodia,13,105,48,44,9,9,12,14,0,0,68,79,41,39,20,20,0,0,50,0,8,10,0,0,22.46,107.4,13.7,0.68
Cameroon,6,12,56,57,4,13,33,40,50,58,75,74,52,43,26,21,30,57,24,12,0,0,88,82,35.39,103.4,12.8,3.38
Canada,60,-95,0,0,0,0,0,0,6,6,0,0,0,0,0,0,96,69,0,0,86,84,0,0,10.1,100.9,68.9,5.56
Central African Republic,7,21,0,0,0,0,0,0,0,0,54,33,16,8,8,6,0,0,0,0,0,0,48,29,35.35,102,3,3.68
Chad,15,19,85,87,17,35,55,70,71,85,31,24,18,10,15,6,18,48,3,3,0,0,0,0,42.17,86.8,3.3,1.89
Chile,-30,-71,8,8,1,2,5,6,5,5,96,97,94,97,83,88,94,90,70,75,68,28,0,0,12.43,101.4,88.5,7.09
China,35,105,0,0,0,0,0,0,0,0,97,97,93,93,63,67,82,85,0,0,80,79,100,100,10.9,100.2,50.6,4.32
Colombia,4,-72,3,1,3,2,6,5,22,20,91,95,74,81,69,78,79,64,55,48,50,35,99,99,14.88,114.5,55.3,9.71
Comoros,-12.16666666,44.25,71,70,18,18,20,18,52,48,75,77,47,45,24,32,0,0,0,0,0,0,78,78,31.88,99.5,9,4.34
Republic of the Congo,0.228021,15.827659,71,70,15,16,0,0,0,0,78,82,56,45,28,19,38,72,17,6,0,0,85,79,32.86,106.6,12.7,9.47
Cook Islands,-21.23333333,-159.7666667,3,0,2,2,4,6,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,10,-84,4,4,3,3,3,1,7,5,98,99,70,76,56,60,89,84,68,60,58,40,99,100,13.97,113.3,55.2,11.85
Ivory Coast,7.539989,5.54708,78,78,2,8,41,48,52,64,60,53,36,22,17,15,17,33,22,3,0,0,64,53,35.74,99.8,9.3,3.32
Croatia,45.16666666,15.5,5,5,0,0,3,1,16,11,0,0,0,0,0,0,0,0,0,67,78,69,0,0,9,96.5,67.9,6.93
Cuba,21.5,-80,2,2,1,1,10,10,20,15,100,98,95,98,85,86,0,0,0,0,0,0,0,0,10.17,101.9,41.4,1.64
Cyprus,35,33,1,2,0,1,2,2,6,8,0,0,0,0,0,0,0,74,0,0,56,63,0,0,10.46,99.3,75.9,7.27
Czech Republic,49.75,15.5,10,10,1,0,1,2,3,3,0,0,0,0,0,0,97,78,0,0,79,80,0,0,10.7,100.7,64.1,1.93
North Korea,40,127,0,0,0,0,0,0,0,0,100,100,100,100,100,100,94,0,0,0,0,0,0,0,13.89,112.8,27,2.74
Democratic Republic of the Congo,0,25,0,0,0,0,0,0,0,0,67,66,58,52,36,27,0,0,0,0,0,0,0,0,41.18,108,6.6,4.24
Denmark,56,10,2,2,1,0,0,1,11,9,0,0,0,0,0,0,97,80,0,0,84,85,0,0,10.6,101.3,80.6,4.91
Djibouti,11.5,43,85,88,32,35,48,48,66,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.47,75.3,5.3,10.3
Dominica,15.41666666,-61.33333333,21,7,4,3,3,1,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,114.7,7.2,0
Dominican Republic,19,-70.66666666,7,6,4,4,6,6,23,21,88,94,76,89,48,66,44,25,21,12,21,9,0,0,19.51,105.7,59.9,5.84
Ecuador,-2,-77.5,8,3,0,0,6,3,20,18,98,98,89,92,78,79,74,65,38,48,49,29,0,0,19.72,103.3,44.9,3.97
Egypt,27,30,63,63,0,0,3,2,23,24,91,92,79,81,43,41,0,0,0,0,0,21,0,0,26.38,106.3,35.2,10.76
El Salvador,13.83333333,-88.91666666,18,17,14,13,17,17,33,35,84,89,73,74,34,36,0,0,0,0,0,0,98,98,18.25,94.8,29.4,4.11
Equatorial Guinea,2,10,57,55,56,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.24,61.8,1.9,6.43
Eritrea,15,39,73,73,45,50,32,40,45,53,0,0,0,0,0,0,0,0,0,0,0,0,94,93,30.3,68.4,3.4,5.14
Estonia,59,26,12,12,2,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,89,90,0,0,10.9,97.2,69.6,5.11
Eswatini,26.522503,31.465866,0,0,15,17,3,3,14,18,64,77,47,54,31,33,0,0,0,0,0,0,94,97,0,0,0,0
Ethiopia,8,38,62,64,11,18,45,49,73,75,47,48,19,22,11,14,0,0,0,0,0,0,0,0,32.34,101,8.1,2.08
Fiji,-18,175,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.28,106.4,16.1,4.1
Finland,64,26,2,3,1,1,1,0,3,5,0,0,0,0,0,0,98,82,0,0,86,85,0,0,8.6,100.2,88.2,6.59
France,46,2,0,0,0,0,1,1,5,4,0,0,0,0,0,0,0,0,94,58,79,79,0,0,11.3,102.5,65.6,8.43
Gabon,-1,11.75,0,0,0,0,0,0,0,0,66,75,32,33,14,14,0,0,0,0,0,0,88,91,31.61,139.9,8.3,20
The Gambia,13.443182,15.310139,42,36,19,10,0,0,0,0,64,60,50,48,33,28,5,0,0,0,0,0,0,0,38.54,98,2.7,9.06
Georgia,42,43.5,0,0,2,2,1,2,7,4,100,100,98,98,79,83,86,47,0,0,36,39,0,0,13.47,98.6,63.9,14.4
Germany,51,9,1,1,1,0,6,4,12,16,0,0,0,0,0,0,0,0,95,77,79,79,0,0,9.5,104,70.2,3.04
Ghana,8,-2,14,12,1,0,13,8,28,28,69,73,45,50,12,9,0,0,0,0,0,0,93,92,29.41,104.8,15.7,4.33
Greece,39,22,6,5,2,1,3,5,4,6,0,0,0,0,0,0,0,0,0,0,69,64,99,99,8.1,99.6,136.6,17.24
Grenada,12.11666666,-61.66666666,4,1,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.47,106.9,104.6,0
Guatemala,15.5,-90.25,16,16,11,10,30,35,57,61,80,76,52,45,27,25,68,52,36,34,30,11,0,0,24.56,101.9,21.8,2.46
Guinea,11,-10,57,60,15,29,43,60,59,76,52,39,33,20,22,13,0,0,0,0,0,0,70,43,36.36,91.5,11.6,4.3
Guinea-Bissau,11.803749,15.180413,0,0,0,0,0,0,0,0,29,25,18,16,14,8,0,0,0,0,0,0,0,0,35.13,118.7,2.6,2.47
Guyana,5,-59,0,0,0,0,0,0,0,0,96,99,80,88,49,64,0,0,0,0,0,0,0,0,19.97,97.8,11.6,11.85
Haiti,19,-72.41666666,0,0,0,0,0,0,0,0,49,58,32,38,17,16,0,0,0,0,0,0,0,0,24.35,113.6,1.1,13.78
Vatican City,41.9,12.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,15,-86.5,24,22,11,14,44,31,58,54,81,87,46,52,29,35,70,57,31,32,30,15,95,98,21.6,91.5,26.2,5.39
Hungary,47,20,12,14,4,5,3,3,12,12,0,0,0,0,0,0,0,0,97,75,75,67,0,0,9.6,100.8,48.5,3.4
Iceland,65,-18,4,3,0,1,1,0,15,11,0,0,0,0,0,0,0,0,0,0,74,79,0,0,12,100.4,71.8,2.84
India,20,77,0,0,3,1,18,12,47,48,92,91,82,79,46,40,47,53,46,44,0,0,93,90,17.86,113,28.1,5.36
Indonesia,-5,120,8,2,3,8,19,14,23,22,91,92,64,59,40,37,0,18,0,0,30,28,100,100,18.07,106.4,36.3,4.69
Iran,32,53,50,49,0,0,3,6,25,27,0,0,0,0,0,0,66,33,0,0,0,34,0,0,18.78,110.7,68.1,11.38
Iraq,33,44,0,0,0,0,0,0,0,0,78,73,46,47,45,43,0,0,0,0,0,0,0,0,29.08,108.7,16.2,12.82
Republic of Ireland,53.41291,8.24389,2,2,0,0,0,0,2,1,0,0,0,0,0,0,98,84,0,0,88,84,0,0,12.5,100.9,77.8,4.93
Israel,31.47,35.13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,69,66,0,0,20.8,104.9,63.4,3.86
Italy,42.83333333,12.83333333,6,7,3,3,2,2,6,5,0,0,0,0,0,0,98,69,0,0,77,62,100,100,7.3,101.9,61.9,9.89
Jamaica,18.25,-77.5,8,6,0,0,19,17,25,22,99,100,97,97,80,83,0,0,0,0,0,0,0,0,16.1,91,27.1,8
Japan,36,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,83,89,0,0,7.4,98.8,63.2,2.29
Jordan,31,36,55,55,18,19,29,30,48,43,96,97,86,88,49,63,0,0,0,0,59,41,99,99,21.98,81.5,34.4,14.72
Kazakhstan,48,68,22,23,10,9,0,0,0,0,100,100,100,100,95,96,0,0,98,80,36,51,100,100,21.77,104.4,61.7,4.59
Kenya,1,38,0,0,0,0,0,0,0,0,77,82,61,69,44,38,53,42,0,0,0,0,88,88,28.75,103.2,11.5,2.64
Kiribati,1.41666666,173,0,0,0,0,0,0,0,0,92,96,69,88,13,20,0,0,0,0,0,0,0,0,27.89,101.3,0,0
Kuwait,29.5,45.75,21,16,4,1,9,4,20,17,0,0,0,0,0,0,0,12,0,0,0,18,99,100,13.94,92.4,54.4,2.18
Kyrgyzstan,41,75,11,10,0,0,2,3,30,26,99,100,99,99,89,85,39,0,36,35,0,0,100,100,27.1,107.6,41.3,6.33
Laos,18,105,31,30,8,9,27,28,42,46,84,83,54,53,32,31,0,0,0,0,0,0,0,0,23.55,102.4,15,0.63
Latvia,57,25,2,2,2,1,1,1,5,4,0,0,0,0,0,0,99,0,0,0,78,83,100,100,10,99.4,88.1,6.52
Lebanon,33.83333333,35.83333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,35,100,100,17.55,95.1,26.3,6.23
Lesotho,-29.5,28.5,58,57,3,2,21,13,38,29,69,92,33,55,27,37,13,0,0,0,0,0,0,0,26.81,120.9,10.2,23.41
Liberia,6.5,-9.5,21,21,22,21,17,26,20,31,36,33,29,23,18,9,0,0,0,0,0,0,0,0,33.04,85.1,11.9,2.81
Libya,25,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.83,109,60.5,18.56
Liechtenstein,47.26666666,9.53333333,1,2,3,2,1,7,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,104.7,35.6,0
Lithuania,56,24,3,3,0,0,0,0,4,2,0,0,0,0,0,0,0,0,97,81,76,74,0,0,10,103.9,72.4,6.35
Luxembourg,49.75,6.16666666,1,1,1,1,4,5,22,17,0,0,0,0,0,0,0,0,0,0,71,73,0,0,10.3,102.3,19.2,5.36
Madagascar,-20,47,43,38,0,0,31,29,63,64,52,60,26,27,16,15,13,0,4,5,0,0,82,81,32.66,142.5,5.4,1.76
Malawi,-13.5,34,0,0,0,0,19,18,62,76,43,52,23,21,15,13,0,0,0,0,0,0,0,0,34.12,142.5,0.8,5.65
Malaysia,2.5,112.5,1,1,0,0,15,12,41,32,0,0,0,0,0,0,0,0,0,0,54,59,97,97,16.75,105.3,45.1,3.32
Maldives,3.25,73,8,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2,97.1,31.2,6.14
Mali,17,-4,53,57,38,44,49,56,71,79,50,41,36,25,23,12,0,0,0,0,0,0,58,43,41.54,75.6,4.5,7.22
Malta,35.83333333,14.58333333,0,5,0,0,2,1,10,7,0,0,0,0,0,0,73,0,0,0,64,62,99,100,9.2,105,54.3,3.47
Marshall Islands,9,168,32,31,25,27,33,29,45,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.03,84.7,23.7,0
Mauritania,20,-12,0,0,25,21,31,25,63,59,68,58,53,40,31,23,0,0,0,0,0,0,0,0,33.69,99.9,5,9.55
Mauritius,-20.28333333,57.55,9,8,3,1,6,4,25,17,0,0,0,0,0,0,0,0,88,78,0,0,99,99,10.2,101.1,40.6,6.67
Mexico,23,-102,2,0,0,0,9,7,28,24,98,98,87,90,56,60,78,77,58,69,55,44,99,99,17.6,105.8,40.2,3.42
Federated States of Micronesia,7.425554,150.550812,30,34,9,11,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.82,97.2,14.1,0
Monaco,43.73333333,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0
Mongolia,46,105,3,5,2,3,8,7,22,20,96,98,87,93,60,73,44,0,0,0,0,0,98,99,24.13,104,65.6,6.01
Montenegro,42.5,19.3,23,24,3,3,8,7,12,10,95,98,93,97,83,90,0,0,0,0,56,54,99,99,11.73,100,56.1,14.88
Montserrat,16.75,-62.2,19,14,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,32,-5,31,39,2,3,8,11,26,30,0,0,0,0,0,0,36,16,0,0,27,14,98,97,18.94,113.9,35.9,9.02
Mozambique,-18.25,35,0,0,1,4,39,47,65,73,44,39,15,11,8,5,0,0,0,0,0,0,0,0,37.52,112.6,7.3,3.24
Myanmar,22,98,88,88,0,0,22,20,47,38,82,84,45,45,14,19,0,0,0,0,0,0,0,0,17.55,112.3,18.8,1.58
Namibia,-22,17,33,30,0,0,0,0,0,0,75,86,48,62,33,39,0,0,35,6,0,0,94,96,28.64,124.2,22.9,20.27
Nauru,-0.53333333,166.9166667,11,3,0,0,13,4,52,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,28,84,9,17,0,0,4,1,26,13,81,83,71,75,27,28,0,0,0,0,0,0,94,91,19.89,142.1,12.4,1.41
Netherlands,52.5,5.75,1,0,1,1,3,2,1,1,0,0,0,0,0,0,99,83,0,0,76,84,0,0,9.7,104.2,85,3.2
New Zealand,-41,174,6,7,1,1,1,1,4,1,0,0,0,0,0,0,90,59,0,0,81,78,0,0,11.98,100,82,4.07
Nicaragua,13,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,44,31,20,0,0,0,0,20.64,120.6,17.4,6.84
Niger,16,8,76,76,37,45,61,69,84,89,35,24,10,4,4,1,9,27,2,1,0,0,51,36,46.08,74.7,4.4,0.47
Nigeria,10,8,0,0,0,0,0,0,0,0,71,71,66,59,57,44,0,0,0,0,0,0,82,68,37.91,84.7,10.2,8.1
Niue,-19.03333333,-169.8666667,13,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,41.608635,21.745275,51,51,1,1,0,0,0,0,97,100,93,95,86,79,0,0,0,0,45,39,0,0,0,0,0,0
Norway,62,10,3,3,0,0,0,1,8,7,0,0,0,0,0,0,99,86,0,70,81,81,0,0,10.4,100.3,82,3.35
Oman,21,57,16,13,0,0,0,0,8,17,0,0,0,0,0,0,59,32,0,0,0,23,98,99,19.19,103.4,38,2.67
Pakistan,30,70,0,14,0,0,0,0,0,0,64,55,55,45,24,23,35,0,0,0,0,0,0,0,28.25,94.3,9,4.45
Palau,7.5,134.5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,112.6,54.7,0
Panama,9,-80,25,23,13,14,13,12,35,31,95,96,75,81,57,68,65,51,36,23,36,19,99,99,18.98,94.4,47.8,3.9
Papua New Guinea,-6,147,28,29,4,10,10,19,40,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.07,108.5,1.8,2.46
Paraguay,-23,-58,31,30,0,0,0,0,33,30,93,96,81,79,60,67,61,47,29,23,32,8,98,99,20.57,104.4,34.6,4.81
Peru,-10,-76,1,1,0,0,3,3,15,21,95,95,83,83,78,72,80,70,46,53,46,40,99,99,17.95,106.9,70.7,3.31
Philippines,13,122,14,13,3,3,14,7,24,17,89,95,75,88,74,83,0,0,0,0,19,19,0,0,20.55,107.5,35.5,2.15
Poland,52,20,4,5,2,2,1,3,4,4,0,0,0,0,0,0,98,80,0,0,85,85,0,0,10.2,100,67.8,3.47
Portugal,39.5,-8,5,6,0,1,0,0,2,4,0,0,0,0,0,0,97,82,0,0,80,77,100,100,8.5,106.2,63.9,6.33
Qatar,25.5,51.25,10,7,3,0,1,9,0,0,0,0,0,0,0,0,66,36,0,0,49,36,0,0,9.54,103.8,17.9,0.09
South Korea,37,127.5,1,1,1,1,3,3,4,4,0,0,0,0,0,0,0,97,0,0,85,85,0,0,6.4,98.1,94.3,4.15
Moldova,47,29,5,5,9,11,15,16,36,35,99,99,95,98,63,71,0,0,0,0,57,50,0,0,10.1,90.6,39.8,5.47
Romania,46,25,18,18,12,13,9,9,21,19,0,0,0,0,0,0,0,0,0,0,59,53,99,99,9.6,85.2,49.4,3.98
Russia,60,100,9,10,1,0,2,1,3,3,0,0,0,0,0,0,0,0,99,89,78,78,100,100,11.5,102.6,81.9,4.59
Rwanda,-2,30,48,47,6,6,6,2,50,49,48,61,25,30,19,16,0,0,0,0,0,0,84,89,31.7,133,6.7,1.03
Saint Kitts and Nevis,17.33333333,-62.75,0,21,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,108.7,86.7,0
Saint Lucia,13.88333333,-60.96666666,5,0,3,0,9,10,20,21,99,99,85,98,70,90,0,0,0,0,0,0,0,0,12,102.6,14.1,20.71
Saint Vincent and the Grenadines,13.25,-61.2,9,3,0,0,1,2,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.24,113.4,23.7,18.88
Samoa,-13.58333333,-172.3333333,65,65,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,99,99,24.38,110.5,7.6,8.36
San Marino,43.76666666,12.41666666,12,14,0,0,0,0,51,57,0,0,0,0,0,0,0,0,0,0,0,0,100,100,6.8,108.1,42.5,0
São Tomé,0.18636,6.613081,49,46,6,6,12,7,19,16,79,86,32,36,4,8,0,0,0,0,0,0,98,98,31.54,106.8,13.4,13.37
Saudi Arabia,25,45,51,48,1,3,0,3,3,9,0,0,0,0,0,0,63,16,0,0,48,11,0,0,17.8,99.8,68,5.93
Senegal,14,-14,85,83,30,21,0,0,0,0,44,50,27,30,11,10,29,63,35,29,9,8,0,0,34.52,81,12.8,6.6
Serbia,44,21,9,10,2,2,2,2,14,11,99,100,99,99,71,81,0,0,0,72,62,60,0,0,9.2,100.3,67.2,12.69
Seychelles,-4.58333333,55.66666666,9,6,0,0,0,0,24,12,0,0,0,0,0,0,0,0,0,0,0,0,99,100,17.1,100.4,17.1,0
Sierra Leone,8.5,-11.5,58,57,2,2,49,49,64,67,63,65,47,42,27,18,6,0,0,0,0,0,71,63,33.41,112.8,2,4.43
Singapore,1.36666666,103.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,97,93,0,0,89,94,100,100,8.8,100.6,84.8,4.11
Slovakia,48.66666666,19.5,15,17,5,4,5,5,11,11,0,0,0,0,0,0,0,0,93,65,69,75,0,0,10.6,98.7,46.6,5.56
Slovenia,46.11666666,14.81666666,5,6,1,0,2,1,2,1,0,0,0,0,0,0,96,75,0,0,82,84,0,0,9.4,100.4,78.6,4.2
Solomon Islands,-8,159,36,33,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.44,106.2,0,0.58
Somalia,10,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.75,23.4,2.5,11.35
South Africa,-29,24,28,27,12,10,16,13,22,20,95,98,85,91,45,52,22,0,0,13,0,0,0,0,20.51,100.9,22.4,28.18
South Sudan,7,30,78,81,58,67,49,63,57,72,31,18,22,10,12,4,0,0,0,0,0,0,48,47,35.01,73,0,12.24
Spain,40,-4,5,5,3,3,1,1,2,1,0,0,0,0,0,0,97,67,0,0,84,75,100,100,7.9,102.7,88.9,13.96
Sri Lanka,7,81,0,0,2,3,0,0,18,13,99,99,94,96,32,43,0,0,0,0,0,0,99,99,15.83,100.2,19.6,4.2
Palestinian National Authority,31.952162,35.233154,35,34,3,3,4,1,32,18,99,100,80,93,52,73,0,0,0,0,0,0,99,99,0,0,0,0
Sudan,15,30,60,60,31,35,33,35,53,50,66,64,49,52,33,28,0,0,0,0,0,0,73,73,32.18,76.8,16.9,16.53
Suriname,4,-56,12,10,14,11,19,11,42,34,80,90,41,58,18,26,30,0,0,0,0,0,99,98,18.54,108.8,12.6,7.33
Sweden,62,15,0,0,0,0,0,0,1,3,0,0,0,0,0,0,98,75,0,0,82,81,0,0,11.4,126.6,67,6.48
Switzerland,47,8,1,0,0,0,1,1,16,20,0,0,0,0,0,0,0,0,0,0,76,83,0,0,10,105.2,59.6,4.58
Syria,35,38,60,61,27,28,37,39,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.69,81.7,40.1,8.37
Tajikistan,39,71,87,88,1,2,0,0,0,0,99,98,95,93,80,63,0,0,0,0,0,0,0,0,30.76,100.9,31.3,11.02
Thailand,15,100,1,1,0,0,0,0,21,21,98,99,81,92,59,72,0,0,0,0,40,47,98,99,10.34,99.8,49.3,0.75
East Timor,-8.83333333,125.9166667,51,48,7,3,12,9,27,22,77,85,63,70,49,55,0,0,0,0,0,0,82,85,29.42,115.3,17.8,4.55
Togo,8,1.16666666,1,7,2,4,15,28,47,66,83,76,55,39,31,12,19,40,16,20,0,0,0,0,33.11,123.8,14.5,2.04
Tokelau,-9,-172,20,0,0,0,0,0,53,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
